bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,15/01/11,Wolfsburg,Bayern Munich,1,1,380,1.73,6.92,5.0,1.7,0.49,0.69,1.875,7,7
1,23/01/11,M'gladbach,Leverkusen,1,3,360,1.58,9.86,4.2,1.8,0.33,0.62,3.9,7,7
1,29/01/11,Werder Bremen,Bayern Munich,1,3,340,1.43,19.16,4.75,1.67,0.5,0.69,6.15,7,7
1,29/01/11,Wolfsburg,Dortmund,0,3,320,1.5,14.77,4.0,1.83,0.52,0.75,4.725,7,7
2,30/01/11,Stuttgart,Freiburg,0,1,430.0,3.21,2.35,1.53,6.5,0.45,0.51,0.27648,7,7
1,05/02/11,FC Koln,Bayern Munich,3,2,550.0,1.41,16.09,7.0,1.44,0.39,0.71,6.9,7,7
1,05/02/11,Nurnberg,Leverkusen,1,0,598.0,1.56,15.87,3.4,2.1,0.44,0.66,5.1,7,7
1,12/02/11,Ein Frankfurt,Leverkusen,0,3,578.0,1.54,17.45,3.75,2.0,0.44,0.63,5.4,7,7
2,19/02/11,Dortmund,St Pauli,2,0,558.0,1.92,3.35,1.25,12.0,0.74,0.49,0.384,7,7
1,19/02/11,Mainz,Bayern Munich,1,3,538.0,1.43,19.59,5.0,1.62,0.5,0.69,6.3,7,7
1,20/02/11,M'gladbach,Schalke 04,2,1,586.0,1.57,14.47,3.4,2.1,0.31,0.56,5.55,7,7
1,05/03/11,Hannover,Bayern Munich,3,1,666.0,1.81,5.54,5.0,1.67,0.57,0.67,1.2,7,7
1,12/03/11,Hoffenheim,Dortmund,1,0,741.0,1.51,17.02,4.75,1.73,0.45,0.78,6.525,7,7
1,19/03/11,Freiburg,Bayern Munich,1,2,721.0,1.74,5.53,6.5,1.5,0.46,0.65,1.5,7,7
2,02/04/11,Bayern Munich,M'gladbach,1,0,701.0,1.67,3.86,1.17,15.0,0.67,0.35,0.40128,7,7
2,02/04/11,Dortmund,Hannover,4,1,681.0,2.43,2.73,1.4,8.0,0.73,0.59,0.30336,7,7
1,09/04/11,Nurnberg,Bayern Munich,1,1,661.0,1.56,9.25,5.25,1.6,0.52,0.69,2.625,7,7
2,10/04/11,Leverkusen,St Pauli,2,1,641.0,1.66,4.35,1.2,15.0,0.73,0.32,0.384,7,7
1,23/04/11,Ein Frankfurt,Bayern Munich,1,1,621.0,1.62,6.62,5.5,1.53,0.38,0.69,2.475,7,7
1,23/04/11,M'gladbach,Dortmund,1,0,706.0,1.93,4.11,5.25,1.57,0.35,0.74,1.5,7,7
2,30/04/11,Bayern Munich,Schalke 04,4,1,686.0,2.6,2.31,1.29,9.5,0.68,0.52,0.22656,7,7
1,07/05/11,St Pauli,Bayern Munich,1,8,666.0,1.45,6.31,11.0,1.22,0.27,0.7,3.75,7,7
2,14/05/11,Bayern Munich,Stuttgart,2,1,646.0,2.39,2.51,1.29,10.0,0.72,0.58,0.28224,7,7
1,14/05/11,Freiburg,Leverkusen,0,1,626.0,1.76,6.46,4.33,1.8,0.42,0.67,1.95,7,7
1,14/05/11,Hamburg,M'gladbach,1,1,606.0,1.46,32.9,2.88,2.3,0.45,0.45,7.5,7,7
1,14/05/11,Hoffenheim,Wolfsburg,1,3,586.0,1.55,13.18,3.5,2.0,0.44,0.43,2.775,7,7
1,07/08/11,Mainz,Leverkusen,2,0,642.0,1.51,19.67,3.8,1.95,0.58,0.69,5.175,7,7
1,13/08/11,Wolfsburg,Bayern Munich,0,1,622.0,1.6,9.21,4.0,1.83,0.49,0.69,2.7,7,7
2,20/08/11,Bayern Munich,Hamburg,5,0,602.0,2.33,2.69,1.33,9.0,0.71,0.44,0.23808,7,7
1,27/08/11,Kaiserslautern,Bayern Munich,0,3,582.0,1.45,13.9,6.5,1.5,0.51,0.73,4.575,7,7
1,09/09/11,Augsburg,Leverkusen,1,4,562.0,1.54,12.19,5.0,1.67,0.24,0.68,7.5,7,7
1,18/09/11,Hannover,Dortmund,2,1,626.0,1.56,13.55,4.2,1.85,0.57,0.65,3.3,7,7
1,18/09/11,Schalke 04,Bayern Munich,0,2,606.0,1.53,12.3,5.0,1.67,0.48,0.75,4.2,7,7
1,01/10/11,Hoffenheim,Bayern Munich,0,0,586.0,1.96,3.73,6.5,1.44,0.47,0.78,1.05,7,7
1,21/10/11,Augsburg,Werder Bremen,1,1,566.0,1.48,21.96,3.8,1.91,0.35,0.53,7.5,7,7
1,23/10/11,Hannover,Bayern Munich,2,1,726.0,1.44,11.75,9.0,1.36,0.58,0.77,3.6,7,7
2,29/10/11,Bayern Munich,Nurnberg,4,0,706.0,1.74,3.52,1.17,16.0,0.73,0.46,0.42432,7,7
1,29/10/11,Stuttgart,Dortmund,1,1,686.0,1.53,22.77,3.3,2.2,0.57,0.69,6.0,7,7
2,05/11/11,Werder Bremen,FC Koln,3,2,666.0,2.7,2.56,1.44,7.5,0.56,0.51,0.288,7,7
1,06/11/11,Augsburg,Bayern Munich,1,2,646.0,1.32,12.72,15.0,1.2,0.32,0.75,7.5,7,7
1,27/11/11,Mainz,Bayern Munich,3,2,806.0,1.41,11.19,9.0,1.33,0.48,0.72,3.975,7,7
2,03/12/11,Bayern Munich,Werder Bremen,4,1,786.0,2.19,2.76,1.3,9.0,0.68,0.57,0.35136,7,7
1,03/12/11,M'gladbach,Dortmund,1,1,766.0,1.56,15.83,3.4,2.1,0.6,0.73,4.125,7,7
2,03/12/11,Stuttgart,FC Koln,2,2,746.0,3.08,2.25,1.44,7.0,0.53,0.46,0.2112,7,7
1,10/12/11,Augsburg,M'gladbach,1,0,806.0,1.54,17.62,4.0,1.91,0.3,0.59,7.5,7,7
1,11/12/11,Stuttgart,Bayern Munich,1,2,786.0,1.5,12.01,6.25,1.53,0.53,0.7,3.525,7,7
1,17/12/11,Freiburg,Dortmund,1,4,766.0,1.75,5.59,5.5,1.57,0.36,0.71,2.1,7,7
1,20/01/12,M'gladbach,Bayern Munich,3,1,846.0,1.47,18.97,5.0,1.67,0.59,0.73,5.325,7,7
1,22/01/12,Hamburg,Dortmund,1,5,826.0,1.58,12.32,4.33,1.83,0.48,0.72,3.9,7,7
1,28/01/12,FC Koln,Schalke 04,1,4,806.0,1.61,10.72,4.0,1.91,0.44,0.61,3.075,7,7
1,03/02/12,Nurnberg,Dortmund,0,2,786.0,1.99,4.02,6.0,1.57,0.42,0.75,1.2,7,7
1,04/02/12,Hamburg,Bayern Munich,1,1,766.0,1.5,12.29,6.0,1.53,0.48,0.71,4.05,7,7
2,11/02/12,Bayern Munich,Kaiserslautern,2,0,746.0,1.6,4.02,1.14,15.0,0.7,0.44,0.528,7,7
2,11/02/12,Dortmund,Leverkusen,1,0,726.0,2.61,2.54,1.4,8.0,0.76,0.62,0.26496,7,7
1,18/02/12,Freiburg,Bayern Munich,0,0,706.0,1.98,3.2,9.0,1.3,0.34,0.71,1.125,7,7
1,18/02/12,Hertha,Dortmund,0,1,686.0,1.48,13.77,7.0,1.5,0.33,0.78,7.35,7,7
1,25/02/12,FC Koln,Leverkusen,0,2,666.0,1.49,19.77,3.75,1.91,0.4,0.61,6.75,7,7
2,26/02/12,Dortmund,Hannover,3,1,646.0,2.55,2.34,1.25,12.0,0.79,0.6,0.23232,7,7
2,03/03/12,Dortmund,Mainz,2,1,626.0,2.2,2.89,1.3,11.0,0.8,0.51,0.2784,7,7
1,03/03/12,Leverkusen,Bayern Munich,2,0,696.0,1.74,6.84,4.5,1.8,0.63,0.72,1.5,7,7
1,10/03/12,Augsburg,Dortmund,0,0,676.0,1.49,8.3,8.5,1.36,0.4,0.81,3.75,7,7
1,17/03/12,Hertha,Bayern Munich,0,6,656.0,1.95,3.49,9.0,1.33,0.31,0.7,1.35,7,7
2,24/03/12,Bayern Munich,Hannover,2,1,636.0,2.57,2.14,1.17,15.0,0.71,0.56,0.21888,7,7
2,30/03/12,Dortmund,Stuttgart,4,4,616.0,2.4,2.49,1.29,10.0,0.82,0.54,0.22848,7,7
1,31/03/12,Nurnberg,Bayern Munich,0,1,596.0,1.57,6.51,8.5,1.36,0.42,0.73,2.4,7,7
2,07/04/12,Bayern Munich,Augsburg,2,1,576.0,1.8,3.13,1.13,21.0,0.74,0.49,0.384,7,7
1,07/04/12,Wolfsburg,Dortmund,1,3,556.0,1.62,7.61,5.5,1.57,0.54,0.8,2.325,7,7
2,14/04/12,Bayern Munich,Mainz,0,0,536.0,2.68,2.34,1.29,11.0,0.72,0.48,0.19392,7,7
1,14/04/12,Schalke 04,Dortmund,1,2,516.0,1.5,22.02,3.3,2.1,0.61,0.82,6.6,7,7
1,21/04/12,FC Koln,Stuttgart,1,1,496.0,1.48,16.8,4.0,1.83,0.33,0.61,6.975,7,7
1,28/04/12,Kaiserslautern,Dortmund,2,5,476.0,1.65,6.93,7.0,1.5,0.32,0.84,3.675,7,7
1,05/05/12,FC Koln,Bayern Munich,1,4,456.0,1.49,12.62,5.0,1.62,0.32,0.74,6.525,7,7
1,25/08/12,Greuther Furth,Bayern Munich,0,3,436.0,1.35,20.27,8.5,1.36,0.5,0.75,7.5,7,7
1,01/09/12,Fortuna Dusseldorf,M'gladbach,0,0,416.0,1.47,54.36,2.9,2.4,1.0,0.61,7.5,7,7
1,01/09/12,Nurnberg,Dortmund,1,1,396.0,2.2,3.38,6.0,1.55,0.49,0.86,0.9,7,7
2,15/09/12,Bayern Munich,Mainz,3,1,376.0,2.3,2.37,1.17,15.0,0.78,0.44,0.19392,7,7
1,15/09/12,Greuther Furth,Schalke 04,0,2,356.0,1.48,26.9,3.75,1.95,0.51,0.63,7.5,7,7
1,22/09/12,Hamburg,Dortmund,3,2,441.0,1.7,5.81,5.25,1.57,0.35,0.85,2.775,7,7
1,22/09/12,Schalke 04,Bayern Munich,0,2,421.0,1.68,9.02,4.0,1.91,0.65,0.79,2.175,7,7
1,25/09/12,Ein Frankfurt,Dortmund,3,3,401.0,1.49,16.17,4.2,1.8,0.46,0.81,6.375,7,7
1,28/09/12,Fortuna Dusseldorf,Schalke 04,2,2,381.0,1.46,35.85,4.33,1.83,0.7,0.64,7.5,7,7
1,29/09/12,Werder Bremen,Bayern Munich,0,2,361.0,1.75,5.59,6.0,1.53,0.41,0.81,2.1,7,7
1,05/10/12,Augsburg,Werder Bremen,3,1,399.0,1.46,33.71,2.9,2.3,0.4,0.39,7.5,7,7
1,07/10/12,Hannover,Dortmund,1,1,379.0,1.53,12.75,5.0,1.67,0.53,0.8,4.2,7,7
1,20/10/12,Fortuna Dusseldorf,Bayern Munich,0,5,359.0,1.33,19.89,11.0,1.29,0.55,0.83,7.5,7,7
1,27/10/12,Freiburg,Dortmund,0,2,339.0,2.11,3.85,5.5,1.62,0.5,0.74,0.9,7,7
2,27/10/12,Schalke 04,Nurnberg,1,0,319.0,2.17,2.79,1.3,9.0,0.67,0.42,0.2688,7,7
2,28/10/12,Bayern Munich,Leverkusen,1,2,559.0,1.97,3.08,1.22,13.0,0.84,0.6,0.37248,7,7
2,03/11/12,Dortmund,Stuttgart,0,0,539.0,2.69,2.33,1.33,9.0,0.76,0.58,0.2208,7,7
1,03/11/12,Hamburg,Bayern Munich,0,3,519.0,1.41,11.28,7.5,1.36,0.46,0.8,4.65,7,7
1,10/11/12,Augsburg,Dortmund,1,3,499.0,1.62,7.28,6.5,1.5,0.39,0.74,2.85,7,7
2,10/11/12,Bayern Munich,Ein Frankfurt,2,0,479.0,1.68,3.83,1.17,16.0,0.81,0.47,0.4416,7,7
1,17/11/12,Nurnberg,Bayern Munich,1,1,459.0,1.67,4.52,10.0,1.29,0.41,0.82,1.8,7,7
2,24/11/12,Bayern Munich,Hannover,5,0,439.0,1.91,2.99,1.17,15.0,0.8,0.5,0.3264,7,7
1,24/11/12,Mainz,Dortmund,1,2,419.0,1.57,10.16,5.5,1.62,0.48,0.77,3.45,7,7
1,27/11/12,Hamburg,Schalke 04,3,1,489.0,1.51,19.88,4.5,1.8,0.44,0.63,6.3,7,7
1,28/11/12,Freiburg,Bayern Munich,0,2,469.0,1.8,4.25,8.0,1.36,0.53,0.81,1.2,7,7
1,08/12/12,Augsburg,Bayern Munich,0,2,449.0,1.67,4.55,10.0,1.29,0.35,0.81,2.1,7,7
1,08/12/12,Stuttgart,Schalke 04,3,1,491.0,1.48,32.97,3.1,2.25,0.59,0.59,7.425,7,7
1,19/01/13,Werder Bremen,Dortmund,0,5,471.0,1.72,6.54,5.0,1.67,0.44,0.73,2.1,7,7
1,27/01/13,Stuttgart,Bayern Munich,0,2,451.0,1.73,5.02,8.0,1.4,0.55,0.81,1.425,7,7
1,02/02/13,Fortuna Dusseldorf,Stuttgart,3,1,495.0,1.53,26.44,3.2,2.25,0.4,0.52,7.5,7,7
