bet,date,hometeam,awayteam,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds
1,15/01/11,Wolfsburg,Bayern Munich,385,1.73,6.92,5.0,1.7
1,23/01/11,M'gladbach,Leverkusen,365,1.58,9.86,4.2,1.8
1,29/01/11,Nurnberg,Hamburg,411.0,1.64,9.53,3.3,2.1
1,29/01/11,Werder Bremen,Bayern Munich,391.0,1.43,19.16,4.75,1.67
1,29/01/11,Wolfsburg,Dortmund,371.0,1.5,14.77,4.0,1.83
2,30/01/11,Stuttgart,Freiburg,481.0,3.21,2.35,1.53,6.5
1,05/02/11,FC Koln,Bayern Munich,601.0,1.41,16.09,7.0,1.44
1,05/02/11,Nurnberg,Leverkusen,649.0,1.56,15.87,3.4,2.1
1,12/02/11,Ein Frankfurt,Leverkusen,629.0,1.54,17.45,3.75,2.0
1,12/02/11,Kaiserslautern,Dortmund,609.0,2.15,3.68,5.5,1.62
2,19/02/11,Dortmund,St Pauli,589.0,1.92,3.35,1.25,12.0
1,19/02/11,Mainz,Bayern Munich,569.0,1.43,19.59,5.0,1.62
1,20/02/11,M'gladbach,Schalke 04,617.0,1.57,14.47,3.4,2.1
1,05/03/11,Hannover,Bayern Munich,697.0,1.81,5.54,5.0,1.67
1,12/03/11,Hoffenheim,Dortmund,772.0,1.51,17.02,4.75,1.73
1,13/03/11,St Pauli,Stuttgart,752.0,1.57,14.64,3.2,2.2
1,19/03/11,Freiburg,Bayern Munich,732.0,1.74,5.53,6.5,1.5
1,01/04/11,St Pauli,Schalke 04,712.0,1.63,12.49,3.4,2.15
2,02/04/11,Bayern Munich,M'gladbach,692.0,1.67,3.86,1.17,15.0
2,02/04/11,Dortmund,Hannover,672.0,2.43,2.73,1.4,8.0
1,09/04/11,Hamburg,Dortmund,652.0,1.53,16.81,3.1,2.2
1,09/04/11,Nurnberg,Bayern Munich,632.0,1.56,9.25,5.25,1.6
2,10/04/11,Leverkusen,St Pauli,612.0,1.66,4.35,1.2,15.0
2,17/04/11,Dortmund,Freiburg,592.0,1.89,3.46,1.29,9.5
1,23/04/11,Ein Frankfurt,Bayern Munich,572.0,1.62,6.62,5.5,1.53
1,23/04/11,M'gladbach,Dortmund,657.0,1.93,4.11,5.25,1.57
1,23/04/11,St Pauli,Werder Bremen,637.0,1.6,10.97,3.25,2.1
2,30/04/11,Bayern Munich,Schalke 04,617.0,2.6,2.31,1.29,9.5
1,30/04/11,Hoffenheim,Stuttgart,597.0,1.53,19.41,2.8,2.38
2,07/05/11,Leverkusen,Hamburg,577.0,2.51,2.69,1.44,7.0
1,07/05/11,St Pauli,Bayern Munich,557.0,1.45,6.31,11.0,1.22
2,14/05/11,Bayern Munich,Stuttgart,537.0,2.39,2.51,1.29,10.0
1,14/05/11,Freiburg,Leverkusen,517.0,1.76,6.46,4.33,1.8
1,14/05/11,Hamburg,M'gladbach,497.0,1.46,32.9,2.88,2.3
1,14/05/11,Hoffenheim,Wolfsburg,477.0,1.55,13.18,3.5,2.0
2,07/08/11,Bayern Munich,M'gladbach,717.0,1.6,4.48,1.2,13.0
1,07/08/11,Mainz,Leverkusen,773.0,1.51,19.67,3.8,1.95
1,13/08/11,Wolfsburg,Bayern Munich,753.0,1.6,9.21,4.0,1.83
1,20/08/11,Augsburg,Hoffenheim,733.0,1.49,38.97,2.8,2.5
2,20/08/11,Bayern Munich,Hamburg,713.0,2.33,2.69,1.33,9.0
1,27/08/11,Kaiserslautern,Bayern Munich,693.0,1.45,13.9,6.5,1.5
1,09/09/11,Augsburg,Leverkusen,673.0,1.54,12.19,5.0,1.67
1,18/09/11,Hannover,Dortmund,737.0,1.56,13.55,4.2,1.85
1,18/09/11,Schalke 04,Bayern Munich,717.0,1.53,12.3,5.0,1.67
1,25/09/11,FC Koln,Hoffenheim,757.0,1.5,24.37,3.0,2.3
1,01/10/11,Hoffenheim,Bayern Munich,737.0,1.96,3.73,6.5,1.44
1,02/10/11,Hannover,Werder Bremen,772.0,1.52,25.0,2.75,2.5
1,14/10/11,Werder Bremen,Dortmund,752.0,1.49,22.57,2.8,2.4
1,21/10/11,Augsburg,Werder Bremen,732.0,1.48,21.96,3.8,1.91
1,23/10/11,Hannover,Bayern Munich,892.0,1.44,11.75,9.0,1.36
2,29/10/11,Bayern Munich,Nurnberg,872.0,1.74,3.52,1.17,16.0
1,29/10/11,Stuttgart,Dortmund,852.0,1.53,22.77,3.3,2.2
2,05/11/11,Werder Bremen,FC Koln,832.0,2.7,2.56,1.44,7.5
1,06/11/11,Augsburg,Bayern Munich,812.0,1.32,12.72,15.0,1.2
1,06/11/11,Hannover,Schalke 04,792.0,1.49,28.84,2.7,2.5
2,19/11/11,Bayern Munich,Dortmund,882.0,3.46,2.23,1.62,5.5
1,25/11/11,FC Koln,M'gladbach,862.0,1.61,11.56,3.2,2.2
1,26/11/11,Augsburg,Wolfsburg,899.6,1.53,19.83,2.88,2.38
1,27/11/11,Mainz,Bayern Munich,1059.6,1.41,11.19,9.0,1.33
2,03/12/11,Bayern Munich,Werder Bremen,1039.6,2.19,2.76,1.3,9.0
1,03/12/11,M'gladbach,Dortmund,1019.6,1.56,15.83,3.4,2.1
2,03/12/11,Stuttgart,FC Koln,999.6,3.08,2.25,1.44,7.0
1,10/12/11,Augsburg,M'gladbach,1059.6,1.54,17.62,4.0,1.91
1,11/12/11,Stuttgart,Bayern Munich,1039.6,1.5,12.01,6.25,1.53
1,17/12/11,Freiburg,Dortmund,1019.6,1.75,5.59,5.5,1.57
1,20/01/12,M'gladbach,Bayern Munich,1099.6,1.47,18.97,5.0,1.67
1,22/01/12,Hamburg,Dortmund,1079.6,1.58,12.32,4.33,1.83
2,28/01/12,Bayern Munich,Wolfsburg,1059.6,1.52,5.01,1.17,15.0
1,28/01/12,FC Koln,Schalke 04,1039.6,1.61,10.72,4.0,1.91
1,03/02/12,Nurnberg,Dortmund,1019.6,1.99,4.02,6.0,1.57
1,04/02/12,Hamburg,Bayern Munich,999.6,1.5,12.29,6.0,1.53
2,11/02/12,Bayern Munich,Kaiserslautern,979.6,1.6,4.02,1.14,15.0
2,11/02/12,Dortmund,Leverkusen,959.6,2.61,2.54,1.4,8.0
1,18/02/12,Freiburg,Bayern Munich,939.6,1.98,3.2,9.0,1.3
1,18/02/12,Hertha,Dortmund,919.6,1.48,13.77,7.0,1.5
1,25/02/12,FC Koln,Leverkusen,899.6,1.49,19.77,3.75,1.91
2,26/02/12,Dortmund,Hannover,879.6,2.55,2.34,1.25,12.0
2,03/03/12,Dortmund,Mainz,859.6,2.2,2.89,1.3,11.0
1,03/03/12,Freiburg,Schalke 04,915.6,1.82,5.82,3.8,1.91
1,03/03/12,Leverkusen,Bayern Munich,985.6,1.74,6.84,4.5,1.8
1,10/03/12,Augsburg,Dortmund,965.6,1.49,8.3,8.5,1.36
2,17/03/12,Dortmund,Werder Bremen,945.6,2.0,3.34,1.33,9.0
1,17/03/12,Hertha,Bayern Munich,925.6,1.95,3.49,9.0,1.33
2,24/03/12,Bayern Munich,Hannover,905.6,2.57,2.14,1.17,15.0
2,30/03/12,Dortmund,Stuttgart,885.6,2.4,2.49,1.29,10.0
1,31/03/12,Nurnberg,Bayern Munich,865.6,1.57,6.51,8.5,1.36
2,07/04/12,Bayern Munich,Augsburg,845.6,1.8,3.13,1.13,21.0
1,07/04/12,Wolfsburg,Dortmund,825.6,1.62,7.61,5.5,1.57
1,08/04/12,Hamburg,Leverkusen,805.6,1.52,24.38,2.75,2.5
2,14/04/12,Bayern Munich,Mainz,785.6,2.68,2.34,1.29,11.0
1,14/04/12,Schalke 04,Dortmund,765.6,1.5,22.02,3.3,2.1
1,21/04/12,FC Koln,Stuttgart,745.6,1.48,16.8,4.0,1.83
1,22/04/12,Augsburg,Schalke 04,725.6,1.57,14.28,3.2,2.2
1,28/04/12,Kaiserslautern,Dortmund,705.6,1.65,6.93,7.0,1.5
1,05/05/12,FC Koln,Bayern Munich,685.6,1.49,12.62,5.0,1.62
1,25/08/12,Greuther Furth,Bayern Munich,665.6,1.35,20.27,8.5,1.36
1,26/08/12,Hannover,Schalke 04,645.6,1.55,16.39,2.88,2.38
1,01/09/12,Fortuna Dusseldorf,M'gladbach,625.6,1.47,54.36,2.9,2.4
1,01/09/12,Nurnberg,Dortmund,605.6,2.2,3.38,6.0,1.55
2,15/09/12,Bayern Munich,Mainz,585.6,2.3,2.37,1.17,15.0
1,15/09/12,Greuther Furth,Schalke 04,565.6,1.48,26.9,3.75,1.95
1,22/09/12,Hamburg,Dortmund,650.6,1.7,5.81,5.25,1.57
1,22/09/12,Schalke 04,Bayern Munich,630.6,1.68,9.02,4.0,1.91
1,25/09/12,Ein Frankfurt,Dortmund,610.6,1.49,16.17,4.2,1.8
1,28/09/12,Fortuna Dusseldorf,Schalke 04,590.6,1.46,35.85,4.33,1.83
1,29/09/12,Werder Bremen,Bayern Munich,570.6,1.75,5.59,6.0,1.53
1,05/10/12,Augsburg,Werder Bremen,608.6,1.46,33.71,2.9,2.3
1,07/10/12,Hannover,Dortmund,588.6,1.53,12.75,5.0,1.67
1,20/10/12,Fortuna Dusseldorf,Bayern Munich,568.6,1.33,19.89,11.0,1.29
1,27/10/12,Freiburg,Dortmund,548.6,2.11,3.85,5.5,1.62
2,27/10/12,Schalke 04,Nurnberg,528.6,2.17,2.79,1.3,9.0
2,28/10/12,Bayern Munich,Leverkusen,768.6,1.97,3.08,1.22,13.0
2,03/11/12,Dortmund,Stuttgart,748.6,2.69,2.33,1.33,9.0
1,03/11/12,Hamburg,Bayern Munich,728.6,1.41,11.28,7.5,1.36
1,10/11/12,Augsburg,Dortmund,708.6,1.62,7.28,6.5,1.5
2,10/11/12,Bayern Munich,Ein Frankfurt,688.6,1.68,3.83,1.17,16.0
1,10/11/12,Fortuna Dusseldorf,Hoffenheim,668.6,1.51,28.46,2.75,2.5
1,11/11/12,Wolfsburg,Leverkusen,710.6,1.61,10.61,3.1,2.2
1,17/11/12,Leverkusen,Schalke 04,743.2,1.48,26.22,2.63,2.5
1,17/11/12,Nurnberg,Bayern Munich,723.2,1.67,4.52,10.0,1.29
1,23/11/12,Fortuna Dusseldorf,Hamburg,763.2,1.54,24.26,3.0,2.38
2,24/11/12,Bayern Munich,Hannover,743.2,1.91,2.99,1.17,15.0
1,24/11/12,Mainz,Dortmund,723.2,1.57,10.16,5.5,1.62
1,27/11/12,Hamburg,Schalke 04,793.2,1.51,19.88,4.5,1.8
1,28/11/12,Freiburg,Bayern Munich,773.2,1.8,4.25,8.0,1.36
1,30/11/12,Fortuna Dusseldorf,Ein Frankfurt,810.8,1.49,30.46,2.88,2.38
1,01/12/12,Greuther Furth,Stuttgart,790.8,1.57,14.84,3.0,2.3
