bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,01/01/11,Birmingham,Arsenal,0,3,380,1.71,7.29,5.5,1.67,0.44,0.65,2.1,7,7
2,01/01/11,Man City,Blackpool,1,0,360,2.11,2.91,1.29,10.0,0.67,0.56,0.384,7,7
1,01/01/11,West Brom,Man United,1,2,340,2.05,3.66,6.0,1.53,0.37,0.79,1.275,7,7
2,02/01/11,Chelsea,Aston Villa,3,3,320,2.17,2.79,1.25,13.0,0.65,0.44,0.28992,7,7
1,05/01/11,Wolves,Chelsea,1,0,460.0,1.83,4.63,8.0,1.44,0.36,0.64,1.5,7,7
2,15/01/11,Man City,Wolves,4,3,440.0,2.13,3.03,1.33,10.0,0.67,0.39,0.27648,7,7
1,15/01/11,West Ham,Arsenal,0,3,420.0,1.65,7.03,6.0,1.57,0.38,0.66,2.475,7,7
2,22/01/11,Arsenal,Wigan,3,0,400.0,1.74,3.7,1.2,15.0,0.68,0.39,0.40704,7,7
1,25/01/11,Blackpool,Man United,2,3,380.0,1.35,16.72,8.0,1.36,0.44,0.8,7.5,7,7
1,25/01/11,Wigan,Aston Villa,1,2,360.0,1.54,23.93,3.2,2.3,0.37,0.46,6.45,7,7
2,26/01/11,Liverpool,Fulham,1,0,340.0,3.0,2.48,1.53,7.0,0.5,0.45,0.24768,7,7
1,01/02/11,Sunderland,Chelsea,2,4,320.0,1.62,9.44,5.5,1.67,0.56,0.65,2.25,7,7
1,02/02/11,Birmingham,Man City,2,2,300.0,1.58,12.03,4.5,1.83,0.43,0.65,3.825,7,7
1,05/02/11,Newcastle,Arsenal,4,4,280.0,1.49,12.87,5.0,1.67,0.42,0.71,4.875,7,7
1,05/02/11,Wolves,Man United,2,1,430.0,2.0,3.61,8.5,1.4,0.33,0.82,1.5,7,7
2,12/02/11,Liverpool,Wigan,1,1,410.0,2.2,2.99,1.36,9.0,0.57,0.4,0.31872,7,7
1,14/02/11,Fulham,Chelsea,0,0,390.0,1.99,4.57,5.0,1.73,0.46,0.63,1.05,7,7
1,22/02/11,Blackpool,Tottenham,3,1,450.0,1.5,17.88,4.0,1.91,0.36,0.68,7.5,7,7
1,07/03/11,Blackpool,Chelsea,1,3,430.0,1.41,9.39,10.0,1.3,0.38,0.64,3.75,7,7
