bet,date,hometeam,awayteam,homegoals,awaygoals,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds,hfr19,afr19,str,wsh_form,wsa_form
1,16/01/11,Cesena,Roma,0,1,380,1.53,19.89,3.75,2.0,0.4,0.69,7.5,7,7
1,16/01/11,Lecce,Milan,1,1,360,1.74,6.11,6.5,1.53,0.33,0.7,2.475,7,7
1,29/01/11,Catania,Milan,0,2,340,1.68,9.76,4.75,1.8,0.42,0.7,3.225,7,7
1,03/02/11,Bari,Inter,0,3,320,1.66,6.71,8.0,1.44,0.29,0.68,3.15,7,7
1,06/02/11,Genoa,Milan,1,1,300,1.61,13.51,3.75,2.0,0.45,0.71,4.425,7,7
1,20/02/11,Lecce,Juventus,2,0,390.0,2.06,4.02,5.5,1.62,0.34,0.55,1.05,7,7
1,23/02/11,Bologna,Roma,0,1,370.0,1.69,8.88,4.75,1.8,0.52,0.6,2.025,7,7
1,27/02/11,Sampdoria,Inter,0,2,350.0,1.55,19.11,3.8,2.0,0.48,0.71,6.075,7,7
1,11/03/11,Brescia,Inter,1,1,330.0,1.53,16.3,5.5,1.67,0.35,0.74,7.5,7,7
1,03/04/11,Lecce,Udinese,2,0,410.0,1.89,5.69,5.0,1.75,0.33,0.69,2.1,7,7
1,10/04/11,Bologna,Napoli,0,2,390.0,1.58,12.16,5.5,1.67,0.52,0.7,3.45,7,7
1,23/04/11,Bari,Sampdoria,0,1,370.0,1.35,20.65,4.5,1.5,0.28,0.35,6.375,7,7
1,23/04/11,Brescia,Milan,0,1,350.0,1.73,10.11,5.75,1.75,0.39,0.75,3.75,7,7
1,30/04/11,Cesena,Inter,1,2,330.0,1.64,12.28,4.33,1.91,0.46,0.69,3.75,7,7
1,01/05/11,Bari,Roma,2,3,310.0,1.86,3.58,9.0,1.3,0.27,0.63,1.5,7,7
2,09/05/11,Juventus,Chievo,2,2,290.0,2.45,2.55,1.29,12.0,0.57,0.41,0.2496,7,7
1,15/05/11,Catania,Roma,2,1,390.0,1.59,7.12,6.0,1.5,0.49,0.64,1.95,7,7
2,15/05/11,Cesena,Brescia,1,0,370.0,2.01,3.11,1.22,11.0,0.47,0.35,0.384,7,7
1,15/05/11,Chievo,Udinese,0,2,350.0,1.43,14.0,7.5,1.36,0.42,0.6,4.65,7,7
1,22/05/11,Lecce,Lazio,2,4,330.0,1.48,21.6,6.0,1.6,0.43,0.55,6.225,7,7
1,18/09/11,Siena,Juventus,0,1,310.0,1.75,7.07,5.0,1.73,0.36,0.56,2.1,7,7
1,20/09/11,Novara,Inter,3,1,410.0,1.56,12.38,6.0,1.62,0.24,0.68,7.5,7,7
1,21/09/11,Cesena,Lazio,1,2,390.0,1.56,21.82,3.4,2.2,0.42,0.54,6.0,7,7
2,21/09/11,Juventus,Bologna,1,1,370.0,2.5,2.71,1.4,8.5,0.58,0.38,0.23616,7,7
2,24/09/11,Milan,Cesena,1,0,350.0,2.26,2.8,1.33,8.5,0.69,0.4,0.24,7,7
1,25/09/11,Catania,Juventus,1,1,330.0,1.56,21.09,4.0,2.0,0.49,0.58,5.325,7,7
1,16/10/11,Chievo,Juventus,0,0,310.0,1.56,22.48,4.0,2.0,0.47,0.6,6.15,7,7
1,23/10/11,Bologna,Lazio,0,2,290.0,1.57,16.52,3.5,2.1,0.38,0.61,5.625,7,7
1,23/10/11,Lecce,Milan,3,4,270.0,1.58,8.53,7.0,1.5,0.36,0.69,3.45,7,7
1,05/11/11,Novara,Roma,0,2,250.0,1.52,20.9,4.0,1.91,0.33,0.54,7.5,7,7
1,02/12/11,Genoa,Milan,0,2,230.0,1.55,14.91,4.5,1.8,0.48,0.75,5.025,7,7
2,03/12/11,Napoli,Lecce,4,2,210.0,2.33,2.87,1.36,9.0,0.57,0.33,0.23808,7,7
1,10/12/11,Lecce,Lazio,2,3,190.0,1.71,9.41,4.2,1.91,0.32,0.64,3.675,7,7
1,11/12/11,Bologna,Milan,2,2,170.0,1.85,4.77,8.0,1.44,0.42,0.77,1.575,7,7
1,11/12/11,Novara,Napoli,1,1,150.0,1.54,17.35,4.0,1.91,0.3,0.6,7.5,7,7
1,12/12/11,Roma,Juventus,1,1,130.0,1.67,11.15,4.0,2.0,0.53,0.68,2.85,7,7
1,18/12/11,Cesena,Inter,0,1,110.0,1.79,7.51,4.75,1.83,0.42,0.63,2.1,7,7
2,21/12/11,Napoli,Genoa,6,1,90.0,3.36,2.3,1.57,6.25,0.56,0.49,0.19968,7,7
1,08/01/12,Atalanta,Milan,0,2,70.0,1.65,11.64,5.5,1.73,0.51,0.78,3.6,7,7
1,08/01/12,Lecce,Juventus,0,1,50.0,1.61,8.65,7.5,1.5,0.29,0.68,4.2,7,7
1,22/01/12,Novara,Milan,0,3,30.0,1.47,11.44,8.5,1.4,0.26,0.75,7.5,7,7
1,22/01/12,Siena,Napoli,1,1,10.0,1.59,14.8,3.5,2.1,0.36,0.6,5.175,7,7
2,18/02/12,Juventus,Catania,3,1,-10.0,2.42,2.59,1.33,9.0,0.7,0.49,0.2496,7,7
1,19/02/12,Cesena,Milan,1,3,-30.0,1.72,6.41,6.5,1.53,0.34,0.74,2.7,7,7
2,03/03/12,Juventus,Chievo,1,1,-50.0,2.49,2.46,1.29,10.0,0.71,0.48,0.22272,7,7
1,03/03/12,Palermo,Milan,0,4,-70.0,1.48,20.99,4.75,1.73,0.48,0.74,7.275,7,7
