bet,date,hometeam,awayteam,bank,my_homeodds,my_awayodds,official_homeodds,official_awayodds
2,06/01/11,Juventus,Parma,545.0,2.47,2.89,1.44,8.0
1,09/01/11,Catania,Inter,525.0,1.72,8.75,3.75,2.0
1,09/01/11,Cesena,Genoa,505.0,1.56,29.04,3.1,2.4
1,09/01/11,Sampdoria,Roma,547.0,1.59,20.15,3.1,2.4
1,16/01/11,Cesena,Roma,527.0,1.53,19.89,3.75,2.0
1,16/01/11,Lecce,Milan,507.0,1.74,6.11,6.5,1.53
1,29/01/11,Catania,Milan,487.0,1.68,9.76,4.75,1.8
1,02/02/11,Chievo,Napoli,531.0,1.64,17.82,3.2,2.4
1,03/02/11,Bari,Inter,511.0,1.66,6.71,8.0,1.44
1,06/02/11,Genoa,Milan,491.0,1.61,13.51,3.75,2.0
1,06/02/11,Lecce,Palermo,471.0,1.6,15.03,3.2,2.25
2,06/02/11,Napoli,Cesena,451.0,1.84,3.92,1.29,11.0
1,13/02/11,Bari,Genoa,431.0,1.64,18.07,3.2,2.38
1,13/02/11,Cesena,Udinese,411.0,1.7,10.18,3.6,2.1
1,20/02/11,Lecce,Juventus,501.0,2.06,4.02,5.5,1.62
2,20/02/11,Napoli,Catania,481.0,2.33,2.95,1.4,8.0
1,23/02/11,Bologna,Roma,461.0,1.69,8.88,4.75,1.8
1,27/02/11,Bari,Fiorentina,441.0,1.69,10.33,3.6,2.1
1,27/02/11,Sampdoria,Inter,421.0,1.55,19.11,3.8,2.0
2,06/03/11,Udinese,Bari,401.0,1.9,3.44,1.29,10.0
1,11/03/11,Brescia,Inter,381.0,1.53,16.3,5.5,1.67
1,12/03/11,Cesena,Juventus,361.0,1.66,15.86,3.6,2.2
1,03/04/11,Lecce,Udinese,441.0,1.89,5.69,5.0,1.75
1,10/04/11,Bologna,Napoli,421.0,1.58,12.16,5.5,1.67
2,16/04/11,Roma,Palermo,541.0,2.51,2.7,1.44,7.0
1,23/04/11,Bari,Sampdoria,521.0,1.35,20.65,4.5,1.5
1,23/04/11,Brescia,Milan,501.0,1.73,10.11,5.75,1.75
2,23/04/11,Juventus,Catania,481.0,2.42,2.87,1.44,7.5
1,23/04/11,Palermo,Napoli,526.0,1.58,22.65,3.25,2.3
1,30/04/11,Cesena,Inter,506.0,1.64,12.28,4.33,1.91
